Nominal mass	Compositions	Charges
113	H5C5O3,H5C4CxO3,H5C5O2Ox,H5C3Cx2O3,H5C2Cx3O3	-1
113	H7C5NS,H7C4CxNS,H7C5NSx,H7C3Cx2NS,H7C2Cx3NS	-1,1
113	H7C5NO2,H7C4CxNO2,H7C5NOOx,H7C3Cx2NO2,H7C2Cx3NO2	-1,1
113	H7C4N3O,H7C3CxN3O,H7C2Cx2N3O,H7CCx3N3O	-1,1
113	H11C6NO,H11C5CxNO,H11C4Cx2NO,H11C3Cx3NO	1
113	H11C5N3,H11C4CxN3,H11C3Cx2N3,H11C2Cx3N3	1
113	H15C7N,H15C6CxN,H15C5Cx2N,H15C4Cx3N	1
114	Cd	-1
114	H2O3S2,H2O3SSx,H2O2OxS2	-1
114	H3O3PS,H3O3PSx,H3O2OxPS	1
114	H3C2O2NaS,H3CCxO2NaS,H3C2O2NaSx,H3C2OOxNaS	-1
114	HC2O2F3,HCCxO2F3,HC2OOxF3	-1
114	H2C4O4,H2C3CxO4,H2C4O3Ox,H2C2Cx2O4,H2CCx3O4	-1
114	H2C3N2O3,H2C2CxN2O3,H2C3N2O2Ox,H2CCx2N2O3	-1,1
114	H6N2O3S,H6N2O3Sx,H6N2O2OxS	-1,1
114	H6C5OS,H6C4CxOS,H6C5OSx,H6C3Cx2OS,H6C2Cx3OS	1
114	H6C4N2S,H6C3CxN2S,H6C4N2Sx,H6C2Cx2N2S,H6CCx3N2S	-1,1
114	H5C3OF3,H5C2CxOF3,H5CCx2OF3	1
114	H6C5O3,H6C4CxO3,H6C5O2Ox,H6C3Cx2O3,H6C2Cx3O3	-1,1
114	H6C4N2O2,H6C3CxN2O2,H6C4N2OOx,H6C2Cx2N2O2,H6CCx3N2O2	-1,1
114	H6C9,H6C8Cx,H6C7Cx2,H6C6Cx3	1
114	H10C6S,H10C5CxS,H10C6Sx,H10C4Cx2S,H10C3Cx3S	-1,1
114	H10C6O2,H10C5CxO2,H10C6OOx,H10C4Cx2O2,H10C3Cx3O2	-1,1
114	H10C5N2O,H10C4CxN2O,H10C3Cx2N2O,H10C2Cx3N2O	-1,1
114	H10C4N4,H10C3CxN4,H10C2Cx2N4,H10CCx3N4	1
114	H14C7O,H14C6CxO,H14C5Cx2O,H14C4Cx3O	-1,1
114	H14C6N2,H14C5CxN2,H14C4Cx2N2,H14C3Cx3N2	1
115	H6NO4P,H6NO3OxP	1
115	H5C4NOS,H5C3CxNOS,H5C4NOSx,H5C2Cx2NOS,H5CCx3NOS	1
115	H5C4NO3,H5C3CxNO3,H5C4NO2Ox,H5C2Cx2NO3,H5CCx3NO3	-1,1
115	H9C5NS,H9C4CxNS,H9C5NSx,H9C3Cx2NS,H9C2Cx3NS	-1,1
115	H7C9,H7C8Cx,H7C7Cx2,H7C6Cx3	-1,1
115	H9C5NO2,H9C5NxO2,H9C4CxNO2,H8HxC5NO2,H9C4CxNxO2,H9C5NOOx,H9C3Cx2NO2,H8HxC4CxNO2,H9C2Cx3NO2,H9Cx5NO2	-1,1
115	H13C6NO,H13C5CxNO,H13C4Cx2NO,H13C3Cx3NO	-1,1
115	H17C7N,H17C6CxN,H17C5Cx2N,H17C4Cx3N	1
116	H5O5P,H5O4OxP	-1,1
116	H4C4O4,H4C3CxO4,H4C4O3Ox,H4C2Cx2O4,H4CCx3O4	-1,1
116	C5N4,C4CxN4,C3Cx2N4,C2Cx3N4	1
116	H4C3N2O3,H4C2CxN2O3,H4C3N2O2Ox,H4CCx2N2O3	-1
116	H8C5OS,H8C4CxOS,H8C5OSx,H8C3Cx2OS,H8C2Cx3OS	-1,1
116	H8C5O3,H8C4CxO3,H8C5O2Ox,H8C3Cx2O3,H8C2Cx3O3	-1,1
116	H6C8N,H6C7CxN,H6C6Cx2N,H6C5Cx3N	1
116	H8C4N2O2,H8C4NNxO2,H8C3CxN2O2,H7HxC4N2O2,H8C4N2OOx,H8C2Cx2N2O2,H8CCx3N2O2	-1,1
116	H8C9,H8C8Cx,H8C7Cx2,H8C6Cx3	1
116	H12C6S,H12C5CxS,H12C6Sx,H12C4Cx2S,H12C3Cx3S	-1
116	H12C6O2,H12C5CxO2,H12C6OOx,H12C4Cx2O2,H12C3Cx3O2	-1,1
116	H12C5N2O,H12C4CxN2O,H12C3Cx2N2O,H12C2Cx3N2O	1
116	H12C4N4,H12C3CxN4,H12C2Cx2N4,H12CCx3N4	1
116	H16C6N2,H16C5CxN2,H16C4Cx2N2,H16C3Cx3N2	1
117	H4NO4Cl,H4NO4Clx,H4NO3OxCl	-1
117	H3C3NO4,H3C2CxNO4,H3C3NO3Ox,H3CCx2NO4	-1
117	H7C4NOS,H7C3CxNOS,H7C4NOSx,H7C2Cx2NOS,H7CCx3NOS	-1,1
117	H7C4NO3,H7C3CxNO3,H7C4NO2Ox,H7C2Cx2NO3,H7CCx3NO3	-1,1
117	H7C3N3O2,H7C2CxN3O2,H7C3N3OOx,H7CCx2N3O2	-1,1
117	H7C8N,H7C7CxN,H7C6Cx2N,H7C5Cx3N	-1,1
117	H11C5NO2,H11C5NxO2,H11C4CxNO2,H10HxC5NO2,H11C4CxNxO2,H11C5NOOx,H11C3Cx2NO2,H10HxC4CxNO2,H11C2Cx3NO2	-1,1
117	H15C6NO,H15C5CxNO,H15C4Cx2NO,H15C3Cx3NO	1
118	H2O4Cr,H2O3OxCr	-1
118	H3O4V,H3O3OxV	-1
118	H3O5Cl,H3O5Clx,H3O4OxCl	-1
118	H2C3O5,H2C2CxO5,H2C3O4Ox,H2CCx2O5	-1
118	H6C4O2S,H6C3CxO2S,H6C4O2Sx,H6C4OOxS,H6C2Cx2O2S,H6CCx3O2S	-1,1
118	H6C4O4,H6C3CxO4,H6C4O3Ox,H6C2Cx2O4,H6CCx3O4	-1,1
118	H2C5N4,H2C4CxN4,H2C3Cx2N4,H2C2Cx3N4	1
118	H6C3N2O3,H6C2CxN2O3,H6C3N2O2Ox,H6CCx2N2O3	-1,1
118	H6C8O,H6C7CxO,H6C6Cx2O,H6C5Cx3O	-1,1
